corr,p_value,loss_func
0.197346366108623,2.7757095518864664e-12,"Weibull Only
RMLSE"
0.12598614985777512,9.194830400766692e-06,"Weibull-RMSLE
Combined"
0.12384763483499309,1.30410768218341e-05,"Weibull Only
RMSE"
0.012623551191882333,0.6580169478483396,RMSLE
-0.013533635044221774,0.6350947759047044,"Weibull-RMSE
Combined"
-0.07119241751648675,0.012437601737535147,RMSE
-0.07363074622068864,0.00972900257885956,MSE
-0.10368638508052268,0.0002668591891797874,"Weibull-MSE
Combined"
-0.1661415983342716,4.4524209644822146e-09,"Weibull Only
MSE"
